Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
75.61,-4.95,1.2,8.25,-1.31,2.87,-3.87,-9.07,1.01,0.85,16.75,42.0,-9.13,stairdescent
75.63,-4.99,1.11,8.26,-3.44,2.31,-4.0,-8.66,0.37,0.48,8.25,51.25,-9.25,stairdescent
75.64,-5.01,0.96,8.29,-5.0,1.37,-3.06,-8.57,0.27,0.3,5.69,54.31,-9.13,stairdescent
75.66,-5.04,0.76,8.22,-4.87,1.0,-2.31,-8.67,0.37,-0.06,4.31,64.69,-12.0,stairdescent
75.67,-4.58,0.99,8.12,-4.56,5.06,-3.25,-9.52,0.63,1.59,3.69,74.31,-13.56,stairdescent
75.69,-4.45,1.59,8.34,-5.5,9.06,-5.5,-8.3,0.87,0.86,5.06,91.25,-10.69,stairdescent
75.7,-4.67,1.76,8.35,-8.19,17.25,-10.56,-9.68,0.9,0.32,3.31,99.25,-7.12,stairdescent
75.71,-5.12,0.39,8.41,-10.94,19.06,-12.0,-8.84,-0.73,-1.2,0.25,104.44,-14.5,stairdescent
75.73,-5.0,0.56,8.73,-10.5,22.25,-12.56,-9.3,-0.44,-0.28,16.25,112.87,-16.87,stairdescent
75.75,-5.0,0.83,8.65,-7.06,23.69,-12.75,-9.32,1.22,-0.18,35.13,126.75,-24.44,stairdescent
75.76,-5.02,1.87,8.22,-11.19,26.81,-15.69,-8.68,1.46,-1.04,30.69,127.94,-26.0,stairdescent
75.78,-5.22,1.52,8.22,-15.0,27.37,-18.0,-8.82,0.23,-2.02,23.06,136.69,-28.44,stairdescent
75.79,-4.92,0.43,8.49,-18.56,28.94,-24.62,-8.63,-0.68,-2.2,30.31,134.37,-28.44,stairdescent
75.81,-4.78,1.26,8.64,-16.12,35.0,-29.56,-8.95,0.34,-2.89,43.25,145.62,-37.5,stairdescent
75.82,-5.22,0.92,8.23,-5.06,41.13,-42.81,-8.94,0.28,-3.21,53.63,148.31,-36.25,stairdescent
75.84,-5.12,-0.83,9.05,-11.56,50.81,-46.88,-9.47,-1.43,-3.33,58.94,152.06,-39.19,stairdescent
75.86,-4.93,0.34,8.91,-15.56,55.75,-47.94,-8.38,-1.17,-3.54,52.81,154.94,-48.88,stairdescent
75.87,-5.01,0.68,9.03,-35.38,68.62,-50.88,-8.73,-0.48,-4.5,44.19,161.5,-52.38,stairdescent
75.89,-5.71,0.9,8.07,-43.19,72.75,-54.56,-10.33,-0.83,-5.21,44.94,159.19,-50.81,stairdescent
75.9,-4.84,1.46,10.46,-50.63,82.87,-65.25,-11.47,-1.39,-3.96,52.31,165.5,-51.06,stairdescent
75.92,-4.76,1.87,11.37,-52.25,101.06,-74.0,-16.01,-0.48,-2.75,60.44,174.81,-48.0,stairdescent
75.93,-4.16,2.56,12.95,-69.75,157.62,-92.69,-17.37,-1.07,-3.46,52.94,181.44,-45.56,stairdescent
75.95,-4.27,3.09,13.72,-74.12,189.37,-105.31,-18.86,0.36,-3.71,36.56,197.44,-48.38,stairdescent
75.96,-5.35,3.57,14.59,-124.19,245.75,-135.87,-17.91,0.39,-4.13,4.87,196.19,-48.81,stairdescent
75.98,-2.75,2.76,11.15,-159.06,275.94,-148.5,-11.89,-1.77,-4.15,-48.81,166.37,-50.81,stairdescent
75.99,-3.54,1.87,5.15,-180.06,319.94,-159.06,-9.89,-1.42,-5.18,-55.44,143.5,-52.75,stairdescent
76.01,-2.2,-0.52,3.44,-198.62,314.06,-149.12,-4.76,-1.58,-3.57,-71.25,101.19,-44.31,stairdescent
76.02,7.48,5.53,6.08,-207.12,288.37,-131.5,-0.88,-1.82,0.82,-76.25,82.75,-52.13,stairdescent
76.04,17.75,9.05,9.4,-153.75,178.75,32.0,0.38,-4.09,8.58,-69.5,4.75,-55.19,stairdescent
76.06,-7.32,9.28,16.56,-56.81,106.87,171.0,1.19,2.4,1.88,-46.31,-61.5,-61.5,stairdescent
76.07,4.3,9.97,15.57,-2.31,-51.44,224.75,-1.98,7.83,3.24,-23.94,-155.25,-20.12,stairdescent
76.08,5.58,-4.62,7.12,-10.25,-212.5,115.5,-3.73,1.89,4.1,-78.06,-200.31,3.37,stairdescent
76.1,-2.39,1.37,7.38,92.31,-233.94,-11.5,-7.39,-3.02,-1.71,-95.25,-282.56,17.44,stairdescent
76.11,-3.97,2.7,6.98,109.94,-245.12,-21.44,-7.92,-5.59,-2.48,-60.56,-305.0,14.81,stairdescent
76.13,-3.87,2.82,3.91,116.75,-238.44,-3.5,-8.21,-4.7,-4.13,84.25,-329.31,-0.62,stairdescent
76.15,-5.02,3.19,3.8,127.75,-162.06,52.5,-9.45,-2.48,-4.36,120.19,-325.81,-2.94,stairdescent
76.16,-6.72,3.62,4.3,107.06,-76.44,109.31,-10.07,3.18,-7.0,90.37,-327.56,33.94,stairdescent
76.18,-12.02,1.61,5.83,88.37,-46.38,134.37,-10.3,3.09,-7.86,29.31,-327.25,56.63,stairdescent
76.19,-17.08,-0.06,6.27,70.56,-25.19,157.37,-11.28,0.38,-10.8,-120.75,-322.69,73.0,stairdescent
76.21,-19.17,-0.79,6.02,50.56,-15.31,175.56,-10.93,-0.99,-9.19,-171.31,-316.75,49.44,stairdescent
76.22,-20.83,-6.11,2.92,-9.94,-26.5,172.5,-11.41,-2.07,-8.3,-148.25,-304.12,34.63,stairdescent
76.24,-20.3,-7.68,2.42,-7.25,-30.94,149.19,-11.05,-0.6,-8.72,-71.69,-259.25,3.62,stairdescent
76.25,-21.09,-8.84,0.48,9.31,-34.38,117.0,-10.96,-0.68,-8.72,-37.88,-230.69,0.31,stairdescent
76.27,-21.1,-9.08,-0.37,30.62,-43.06,80.62,-10.49,-1.03,-8.47,47.75,-172.62,-0.31,stairdescent
76.28,-18.91,-6.68,-1.86,79.44,-69.5,12.19,-8.75,-0.13,-7.13,73.94,-141.25,4.0,stairdescent
76.3,-13.94,-1.71,-2.96,106.31,-77.94,-21.69,-9.35,0.11,-5.26,80.75,-90.62,16.06,stairdescent
76.32,-12.94,-0.84,-2.83,100.19,-69.0,-23.37,-9.69,-0.02,-4.8,74.56,-71.62,18.0,stairdescent
76.33,-11.26,-1.13,-2.43,69.81,-29.75,-3.87,-9.56,-0.42,-3.68,44.56,-38.19,20.0,stairdescent
76.35,-10.7,-1.85,-1.96,56.06,-5.31,8.94,-9.33,-0.56,-2.76,31.44,-23.87,22.44,stairdescent
76.36,-10.59,-2.47,-1.25,48.5,42.88,20.31,-9.68,-0.45,-2.28,30.87,6.69,23.31,stairdescent
76.37,-12.15,-2.83,1.75,58.69,68.06,3.81,-9.97,-0.14,-2.39,36.06,20.37,24.5,stairdescent
76.39,-12.11,-3.02,3.31,64.87,67.37,-10.44,-9.94,-0.42,-2.0,51.31,41.25,25.37,stairdescent
76.41,-15.84,3.18,4.46,73.69,61.69,-25.87,-10.12,-0.71,-1.65,60.94,50.0,24.19,stairdescent
76.42,-28.87,0.22,18.68,-19.75,14.19,-136.75,-9.63,12.58,-10.15,115.5,49.06,37.19,stairdescent
76.44,-1.59,-8.7,-2.09,-162.12,-181.94,-102.81,-14.89,4.93,0.84,-39.06,91.62,23.62,stairdescent
76.46,-10.02,-3.08,13.48,-49.69,-215.0,-31.81,-13.73,-4.68,7.02,-47.44,89.37,17.37,stairdescent
76.47,-3.53,3.49,16.67,15.13,-230.5,-13.13,-14.84,-10.28,7.49,29.94,94.06,15.31,stairdescent
76.49,-6.26,-2.41,9.41,-14.13,-176.81,12.31,-14.09,-1.81,-0.13,67.44,78.12,7.0,stairdescent
76.5,-3.08,-2.82,11.68,-3.5,-131.31,16.62,-16.01,-2.23,1.44,-23.0,90.5,9.81,stairdescent
76.52,-5.75,-2.02,8.12,-4.25,-113.69,27.12,-10.75,-0.95,-2.26,-77.75,89.0,7.62,stairdescent
76.53,-6.05,3.73,9.26,2.25,-95.81,41.75,-10.08,0.13,1.62,-78.62,86.19,3.87,stairdescent
76.55,-4.71,6.49,8.69,15.06,-95.12,38.75,-11.93,3.31,3.47,-15.63,90.19,-1.0,stairdescent
76.56,-4.11,-0.52,11.23,-7.31,-70.87,5.19,-15.84,-1.53,1.11,21.75,68.94,6.25,stairdescent
76.58,-3.64,-0.14,10.73,-13.5,-49.25,-5.75,-16.01,-3.41,1.04,-1.94,61.44,2.56,stairdescent
76.6,-4.26,0.39,9.45,-11.56,-15.56,-0.75,-11.37,-0.62,-0.01,-21.37,69.87,1.12,stairdescent
76.61,-4.19,1.85,9.27,2.37,12.06,-1.31,-10.81,0.18,0.86,6.31,78.5,-1.25,stairdescent
76.62,-5.79,2.7,8.17,2.56,21.0,-6.44,-8.77,1.89,-4.81,25.81,68.5,-4.25,stairdescent
76.64,-6.38,0.23,7.65,-1.25,23.0,-11.81,-8.09,0.51,-4.88,26.87,50.75,-8.75,stairdescent
76.66,-6.11,-0.39,7.94,-4.94,6.81,-10.88,-9.0,-0.28,-3.78,25.81,48.0,-13.13,stairdescent
76.67,-5.95,-0.15,7.88,-0.88,-6.25,-4.19,-8.73,0.37,-2.17,24.5,44.06,-18.25,stairdescent
76.69,-5.24,0.8,8.01,-1.5,-13.69,-0.69,-9.45,0.52,0.08,21.37,48.63,-18.06,stairdescent
76.71,-4.71,1.25,8.5,-3.81,-14.94,-0.19,-9.47,0.31,0.91,19.44,53.44,-17.56,stairdescent
76.72,-4.56,1.41,8.38,-7.0,-7.75,-2.62,-9.37,0.8,0.96,16.06,69.31,-21.5,stairdescent
76.74,-4.62,1.58,8.44,-8.75,-1.56,-5.25,-8.46,0.91,-0.41,13.75,77.69,-21.0,stairdescent
76.76,-4.74,1.22,8.42,-10.69,10.25,-14.75,-8.57,-0.4,-0.88,8.81,95.94,-20.37,stairdescent
76.77,-4.49,0.1,8.7,-13.88,18.25,-15.88,-8.56,-1.43,-0.97,14.19,110.69,-26.31,stairdescent
76.79,-4.83,0.03,8.39,-12.13,23.12,-15.88,-6.85,-0.09,-2.92,21.06,120.75,-30.37,stairdescent
76.81,-5.51,-0.12,8.19,-13.56,36.94,-14.88,-9.06,-0.66,-2.44,15.63,132.69,-38.69,stairdescent
76.83,-4.59,1.02,8.98,-12.0,36.31,-16.06,-10.07,-0.57,-1.89,25.12,138.87,-40.44,stairdescent
76.84,-4.31,1.86,9.52,-15.88,54.13,-23.94,-11.23,0.45,-1.33,46.56,152.44,-44.94,stairdescent
76.86,-4.38,2.42,9.41,-20.31,61.75,-32.06,-10.02,0.66,-3.46,47.25,159.37,-47.44,stairdescent
76.87,-5.55,1.93,8.93,-40.56,85.56,-52.75,-9.62,0.17,-3.93,46.94,165.56,-41.63,stairdescent
76.89,-5.14,0.74,9.24,-46.31,90.94,-61.94,-10.36,-1.55,-3.38,52.31,172.25,-39.56,stairdescent
76.91,-5.89,0.19,8.53,-57.13,109.31,-77.5,-9.78,-1.88,-5.97,41.81,172.06,-36.63,stairdescent
