Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
330.65,-5.1,0.84,8.35,0.13,0.94,0,-9.79,-1,-0.72,-2.12,1.75,3.06,stairdescent
330.66,-5.16,0.78,8.32,-0.06,0.75,-0.13,-9.74,-1.08,-0.79,-2.75,1.56,2.81,stairdescent
330.68,-5.09,0.73,8.32,-0.31,0.31,0.06,-9.74,-1.2,-0.56,-1.44,1.44,2.25,stairdescent
330.7,-5.04,0.75,8.37,0.13,-0.13,0.37,-9.81,-1.06,-0.58,-0.25,1.69,2.25,stairdescent
330.71,-5.06,0.79,8.35,0.06,0.44,0.25,-9.84,-1.07,-0.6,-1.19,1.87,2.44,stairdescent
330.73,-5.06,0.79,8.37,0.06,0.44,0.13,-9.88,-1.13,-0.58,-1.69,1.56,3,stairdescent
330.74,-5.06,0.79,8.37,0.19,1.06,-0.19,-9.86,-1.13,-0.64,-0.88,1.12,3.12,stairdescent
330.76,-5.12,0.78,8.33,0.44,1.44,-0.5,-9.78,-1.1,-0.89,0.25,0.44,3.06,stairdescent
330.77,-5.16,0.72,8.33,0.75,1.37,-0.44,-9.73,-1.18,-0.81,0.19,-0.13,3.06,stairdescent
330.79,-5.12,0.74,8.3,0.69,0.69,0.06,-9.79,-1,-0.63,1.31,-0.56,3.06,stairdescent
330.8,-5.11,0.82,8.32,0.69,0.5,0.19,-9.77,-0.97,-0.66,0.88,-0.44,3,stairdescent
330.82,-5.12,0.79,8.35,0.56,0.62,0.31,-9.73,-1.01,-0.6,-0.69,-0.31,2.94,stairdescent
330.83,-5.07,0.81,8.31,0.37,0.37,0.44,-9.79,-1.03,-0.51,-1,-0.13,2.75,stairdescent
330.85,-5.05,0.86,8.35,0.25,0.56,0.31,-9.85,-0.96,-0.52,-1.06,0.5,2.81,stairdescent
330.86,-5.13,0.8,8.34,0.25,0.94,-0.19,-9.75,-1,-0.63,-1.62,0.56,2.87,stairdescent
330.87,-5.12,0.79,8.32,0.25,1,-0.25,-9.74,-1.05,-0.64,-1.5,1.19,2.81,stairdescent
330.89,-5.16,0.75,8.31,0.31,1.12,-0.13,-9.77,-1.07,-0.75,-1,0.88,2.75,stairdescent
330.91,-5.11,0.79,8.33,0.56,0.37,0.31,-9.78,-0.99,-0.65,-0.25,0.75,2.37,stairdescent
330.92,-5.09,0.79,8.35,0.44,0.37,0.25,-9.79,-0.93,-0.58,-0.06,0.81,2.56,stairdescent
330.94,-5.09,0.81,8.33,0.37,0.44,0,-9.79,-0.98,-0.66,-0.88,0.75,2.69,stairdescent
330.95,-5.14,0.79,8.31,0.25,0.75,0.06,-9.76,-0.99,-0.71,-1.25,1,2.62,stairdescent
330.97,-5.1,0.82,8.29,0.37,0.69,0,-9.8,-0.84,-0.59,-0.62,1.25,2.44,stairdescent
330.99,-5.09,0.83,8.35,0.37,0.56,0.06,-9.83,-0.88,-0.56,-1.12,1.19,2.62,stairdescent
331.01,-5.12,0.8,8.32,0.06,1.19,-0.25,-9.77,-0.99,-0.71,-1.81,1.5,2.69,stairdescent
331.02,-5.11,0.8,8.32,0.13,1.12,-0.37,-9.75,-0.96,-0.64,-1.5,1.56,2.69,stairdescent
331.04,-5.12,0.77,8.32,0.19,1,-0.13,-9.81,-0.93,-0.67,-1.75,2,2.75,stairdescent
331.05,-5.15,0.73,8.32,0.19,1.56,-0.56,-9.77,-0.96,-0.72,-2,1.87,2.81,stairdescent
331.06,-5.16,0.74,8.31,0.19,1.44,-0.37,-9.75,-0.95,-0.73,-1.81,1.81,2.75,stairdescent
331.08,-5.15,0.8,8.28,0.44,1.25,-0.25,-9.75,-0.85,-0.7,-1,1.81,2.56,stairdescent
331.09,-5.16,0.78,8.29,0.44,0.94,0,-9.76,-0.83,-0.74,-1.56,2.12,2.44,stairdescent
331.11,-5.1,0.79,8.29,0.13,0.75,-0.19,-9.82,-0.85,-0.63,-2,2.06,2.44,stairdescent
331.13,-5.12,0.83,8.3,0.06,1.06,-0.13,-9.83,-0.83,-0.69,-2,1.94,2.37,stairdescent
331.14,-5.16,0.8,8.3,0.06,0.88,-0.25,-9.76,-0.92,-0.88,-2.12,1.56,2.5,stairdescent
331.16,-5.22,0.73,8.31,0.06,1,-0.19,-9.76,-0.96,-0.85,-1.5,0.88,2.19,stairdescent
331.17,-5.19,0.74,8.31,0.19,0.25,0.25,-9.73,-0.86,-0.8,-1.25,0.75,2,stairdescent
331.19,-5.15,0.77,8.31,0.19,-0.13,0.44,-9.8,-0.83,-0.61,-1,0.88,1.87,stairdescent
331.2,-5.15,0.8,8.3,0.06,0.19,0.37,-9.8,-0.82,-0.72,-1.44,1.37,1.94,stairdescent
331.22,-5.19,0.74,8.31,0.06,0.13,0.25,-9.76,-0.88,-0.75,-1.94,0.94,1.87,stairdescent
331.24,-5.14,0.76,8.3,0.19,-0.06,0.5,-9.73,-0.83,-0.67,-0.81,0.81,1.56,stairdescent
331.25,-5.15,0.84,8.28,0.19,0,0.44,-9.81,-0.79,-0.83,-1.19,1,1.5,stairdescent
